日期,当前排名,排名变动,代码,股票名称,最新价,涨跌额,涨跌幅
2021-08-19 23:30:00,82,468,600110,诺德股份,18.37,1.55,9.22
2021-08-19 23:30:00,83,178,002709,天赐材料,124.8,8.08,6.92
2021-08-19 23:30:00,84,26,605588,冠石科技,63.59,5.78,10.0
2021-08-19 23:30:00,85,3279,605166,聚合顺,11.28,1.03,10.05
2021-08-19 23:30:00,86,371,603379,三美股份,27.5,2.49,9.96
2021-08-19 23:30:00,87,65,002407,多氟多,49.94,1.99,4.15
2021-08-19 23:30:00,88,158,002371,北方华创,362.48,21.48,6.3
2021-08-19 23:30:00,89,569,002397,梦洁股份,4.73,0.43,10.0
2021-08-19 23:30:00,90,58,000858,五 粮 液,222.65,-6.35,-2.77
2021-08-19 23:30:00,91,634,002006,精功科技,15.66,1.42,9.97
2021-08-19 23:30:00,92,-75,601669,中国电建,6.05,-0.07,-1.14
2021-08-19 23:30:00,93,-6,000895,双汇发展,24.98,-1.31,-4.98
2021-08-19 23:30:00,94,194,002506,协鑫集成,4.82,0.26,5.7
2021-08-19 23:30:00,95,1245,600363,联创光电,35.64,3.24,10.0
2021-08-19 23:30:00,96,81,600089,特变电工,16.45,0.57,3.59
2021-08-19 23:30:00,97,275,002667,鞍重股份,31.44,2.86,10.01
2021-08-19 23:30:00,98,483,601238,广汽集团,15.6,1.02,7.0
2021-08-19 23:30:00,99,32,002529,海源复材,18.4,1.67,9.98
2021-08-19 23:30:00,100,3422,600775,南京熊猫,7.41,0.67,9.94
